"In the #KeepItOn Report Shattered dreams and lost opportunities: a year in the fight to #KeepItOn, the count of duration days of a shutdown event include both the start date and the end date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,start_date,end_date ,duration,Info_source ,news_link ,continent,country ,State/India ,geo_scope,area_name ,ordered_by ,decision_maker,shutdown_type_new,affected_network,full or service-based,Facebook_affected,Twitter_affected,WhatsApp_affected,Instagram_affected,Telegram_affected,other_service_details (specify) ,SMS_affected,phone_call_affected ,telcos_involved ,gov_ack,official_just,other_just_details,off_statement,actual_cause,other_cause_details,election,violence,hr_abuse_reported,users_notified,users_affected/targetted ,legal_justif,legal_method ,telco_resp,telco_ ack,econ_impact,event ,an_link ,notes
1,6/12/2016,Ongoing,,News media article,https://slate.com/technology/2017/08/the-internet-has-been-shut-down-in-pakistans-fata-for-more-than-a-year.html,Asia ,Pakistan,,Level 2,Federally Administered Tribal Area,Executive government,,Shutdown,"Broadband, Mobile",Full network,No,No,No,No,No,,Unknown,Unknown,,Yes,Technical problems/ Infrastructure failure,Government said they will not be able to restore internet connection due to technical problems. ,,Other,Conflict between Afghanistan and Pakistan forces ,No,No,No,No,,No,,,Unknown,,,,
2,6/22/2019,Ongoing,,News media article,https://www.aljazeera.com/news/2020/6/21/internet-blackout-in-myanmars-rakhine-enters-its-second-year,Asia ,Myanmar,,Level 2,"Myabon, Ponnagyun, Kyauktaw, and Mrauk U Townships in Rakhine State",Executive government,Myanmar Ministry of Transport and Communications (MoTC) ,Throttle,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Fake news/ Hate speech/ Incendiary content/ Promoting violence,"Act of Terrorism, acts of disturbance, and illegal activities  ",,Political instability,,Yes,Yes,Unknown,No,Ethnic minorities,Yes,"Acts of terrorism, act of disturbance, and illegal activities  ",https://www.telenor.com/internet-services-restricted-in-five-townships-in-myanmar-03-february-2020/,Yes,,,,
3,8/3/2019,1/25/2020,175,,https://www.news18.com/news/india/omar-abdullah-mehbooba-put-under-house-arrest-internet-services-snapped-as-kashmir-remains-tense-2257393.html;  https://www.livemint.com/politics/news/clampdown-in-kashmir-to-be-lifted-in-phases-1565940804140.html; https://theprint.in/india/mobile-internet-services-again-snapped-in-jammu/278573/; https://www.tribuneindia.com/news/j-k/2g-mobile-internet-services-suspended-in-kashmir-again-38299,Asia ,India,Jammu and Kashmir,Level 2,Kashmir Valley ,State government,State government,Shutdown,"Broadband, Mobile",Full network,No,No,No,No,No,,Yes,Yes,India: BSNL,Yes,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,https://twitter.com/NetShutdowns/status/1217152823047024641,Political instability,,No,Yes,Yes,No,"Ethnic minorities, Religious minorities",Yes,Section 144 CrPC,,Unknown,,,,
4,9/9/2019,8/28/2020,354,News media article,https://www.hrw.org/news/2019/09/13/bangladesh-internet-blackout-rohingya-refugees,Asia ,Bangladesh,,Level 1,Refugee Camps in Cox Bazar district and peninsula adjoining the Naf River ,Executive government,Bangladesh Telecommunication Regulatory Commission ,Throttle,Mobile,Full network,No,No,No,No,No,,No,No,Bangladesh: banglalink (Global Telecom),Yes,Fake news/ Hate speech/ Incendiary content/ Promoting violence,"To stop baseless rumours and misinformation"" could create panic and destabilise the camps, where a few Rohingya have been killed in internal clashes in recent years.",,Protests,Protests organized by refugees commemorating the second anniversary of the Myanmar military's ethnic cleansing campaign in Rakhine State.  ,No,No,No,No,Ethnic minorities,Yes,,,No,,,,
5,1/1/2020,1/1/2020,0,News media article,"""https://timesofindia.indiatimes.com/city/pune/amid-tight-security-10-lakh-people-pay-tributes-at-koregaon-bhima/articleshow/73063396.cms;"" https://indianexpress.com/article/cities/pune/202nd-anniversary-of-battle-of-koregaon-bhima-internet-services-shut-6194731/",Asia ,India,Maharashtra,Level 2,"Koregaon Bhima, Perne village in Pune district",Local government,Pune superintendent of police (rural) Sandeep Patil,Shutdown,"Broadband, Mobile",Full network,No,No,No,No,No,,Unknown,Unknown,,Yes,Precautionary measure,,https://timesofindia.indiatimes.com/city/pune/amid-tight-security-10-lakh-people-pay-tributes-at-koregaon-bhima/articleshow/73063396.cms,Religious holiday/anniversary,202nd Anniversary of Battle of Koregaon Bhima:,No,No,No,No,,No,No,,Unknown,,,,
6,1/1/2020,1/5/2020,4,News media article,"https://indianexpress.com/article/cities/kolkata/prohibitory-orders-internet-shut-after-clashes-in-bengal-district-6197172/, https://transparency.facebook.com/internet-disruptions",Asia ,India,West Bengal,Level 2,"Duttapukur, Amdanga and Deganga, in North 24 Parganas, West Bengal",Local government,,Shutdown,Unknown,Full network,No,No,No,No,No,,No,No,,Yes,Public safety/ Quell unrest / Restore public order,"""PROHIBITORY ORDERS were imposed in three panchayat areas of North 24 Parganas district in West Bengal following clashes between members of two communities in Duttapukur area, triggered by the “unnatural” death of a shopkeeper, police said on Thursday.""",,Communal violence,"""clashes between members of two communities in Duttapukur area, triggered by the “unnatural” death of a shopkeeper, police said""",No,Yes,Yes,No,,Unknown,,,Unknown,,,,
7,1/3/2020,4/1/2020,89,News media article,https://www.hrw.org/news/2020/03/09/ethiopia-communications-shutdown-takes-heavy-toll; https://amharic.voanews.com/a/oromia-violence-1-10-2020-/5240740.html,Africa,Ethiopia,,Level 2,"Kellem Wollega, West Wollega, Horo Gudru Wollega zones",State government,,Shutdown,"Broadband, Mobile","Full network, Service-based",Yes,Yes,Yes,Unknown,Unknown,,Yes,Yes,Ethiopia: Ethio Telecom,Yes,National security/ Counter-terrorism,,https://www.ethiopia-insight.com/2020/02/14/amid-blackout-western-oromia-plunges-deeper-into-chaos-and-confusion/,Political instability,,No,Yes,Yes,No,,Unknown,,,Unknown,,,,
8,1/4/2020,Unknown,,News media article,https://www.siasat.com/record-turnout-hyderabads-anti-caa-nrc-npr-million-march-1782839/ ,Asia ,India,Andhra Pradesh,Level 1,Hyderabad in the state of Andhra Pradesh,Unknown,,Shutdown,"Broadband, Mobile",Full network,No,No,No,No,No,,No,No,,Unknown,Unknown,,,Protests,The internet experienced a total shut down at the Million March venue in Hyderabad during a Anti-CAA protest. Thousands of protestors flocked to Dharna Chowk en masse around 2 pm for Hyderabad’s Million March protest against the CAA-NRC-NPR on 4th January 2019,No,No,No,No,,,,,Unknown,,,,
9,1/5/2020,1/5/2020,0,News media article,https://netblocks.org/reports/social-media-restricted-in-venezuela-on-day-of-national-assembly-leadership-vote-3AnEVk82,Latin America ,Venezuela (Bolivarian Republic of),,Level 3,National ,Unknown,,Shutdown,"Broadband, Mobile",Service-based,Yes,Yes,No,Yes,No,,No,No,,No,Unknown,,,Other,Authorities blocked social media amidst a vote in the National Assembly ,No,No,No,No,,,,,No,,,,
10,1/10/2020,Ongoing ,,Other,"http://jkhome.nic.in/TSTS%20106of2020.pdf
http://jkhome.nic.in/114(TSTS)of2020.pdf; ",Asia ,India, Jammu and Kashmir,Level 2,"All districts of Jammu and Kashmir, but for Ganderbal and Udhampur",Local government,Principal Secretary to the Government of J&K ,Throttle,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,"The Principal Secretary to the Government of J&K ordered, in all districts in the region but two (Ganderbal and Udhampur), a throttle of mobile services to ensure a cap of 2g speed on post-paid mobile and shut down of pre-paid mobile data if it does not fulfill the same conditions (identification) of post-paid mobile plans in order to preempt security and law in order situations related to the border and organizations labeled as ""terrorists"".",http://jkhome.nic.in/TSTS%20106of2020.pdf,Political instability,prevent terrorism and law and order situation,No,No,Unknown,No,,Yes,"The Principal Secretary to the Government of J&K ordered, in all districts in the region but two (Ganderbal and Udhampur), a throttle of mobile services to ensure a cap of 2g speed on post-paid mobile and shut down of pre-paid mobile data if it does not fulfill the same conditions (identification) of post-paid mobile plans in order to preempt security and law in order situations related to the border and organizations labeled as ""separatists"" and ""terrorists"".",,Unknown,,,,
11,1/22/2020,1/23/2020,1,Social media,"https://twitter.com/Farida_N/status/1220090684075659271?s=20, https://twitter.com/netblocks/status/1220118227126312960?s=20, ",Africa,Togo,,Level 3,Nation wide ,Executive government,,Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,Togo: Togocel (Togo Com),No,Unknown,,,Unknown,,No,Unknown,No,No,,,,,No,,,,
12,1/25/2020,1/26/2020,1,Other,http://jkhome.nic.in/G.O%20No.%2006(TSTS)%20of%202020%20dt.%2026.01.2020.pdf,Asia ,India,Jammu and Kashmir ,Level 2,Kashmir Valley,Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,Yes,Yes,,Yes,National security/ Counter-terrorism,"""security of the state and maintaining public order in view of the Republic Day""",http://jkhome.nic.in/G.O%20No.%2006(TSTS)%20of%202020%20dt.%2026.01.2020.pdf,Religious holiday/anniversary,Prevent law and order situation during Republic Day,No,Unknown,Unknown,No,,Yes,"Yes. The Inspector general office of the Kashmir zone issued a mobile data, call and SMS shutdown order to prevent a law and order situation due to the Republic day. The order was later confirmed by the Principal Secretary of Government. Order - Home-06(TSTS) of 2020. ",,Unknown,,,,
13,1/27/2020,1/28/2020,1,Other,http://jkhome.nic.in/G.O%20No.%2007(TSTS)%20of%202020%20dt.%2028.01.2020.pdf,Asia ,India,Jammu and Kashmir,Level 1 ,Anantnag,Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Mobile internet services were shut down to prevent a law and order situation during and after security forces operation in Anantnag.,http://jkhome.nic.in/G.O%20No.%2007(TSTS)%20of%202020%20dt.%2028.01.2020.pdf,Other,"Inspector General of Police, Kashmir zone",No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - Home-07(TSTS) of 2020.,,Unknown,,,,
14,1/30/2020,Unknown,,News media article,https://alkhabaralyemeni.net/2020/01/30/76799/,Middle East ,Yemen,,Level 3,,Executive government,Minister of Communications,Shutdown,"Broadband, Mobile",Full network,No,No,No,No,No,,No,No,"Yemen: MTN, Yemen: Sabafon, Yemen: Y, Yemen: Yemen Mobile",Yes,Unknown,,,Other,Conflict ,No,No,No,No,,No,,https://alkhabaralyemeni.net/2020/01/30/76799/,Yes,,,,
15,1/31/2020,1/31/2020,0,News media article,"https://www.medianama.com/2020/01/223-internet-shutdown-jabalpur/
https://transparency.facebook.com/internet-disruptions",Asia ,India,Madhya Pradesh,Level 1 ,"Jabalpur, in Madhya Pradesh",Local government,District magistrate,Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,,,Protests,"Mobile internet services in Jabalpur city in Madhya Pradesh have been suspended as a “precautionary measure” to curb protests against the controversial Citizenship Amendment Act, Jabalpur deputy inspector general BS Chouhan told to MediaNama.",No,Unknown,Unknown,No,,Unknown,,https://twitter.com/Airtel_Presence/status/1223100898185887746?s=20,Yes,,,,
16,2/8/2020,2/8/2020,0,Social media,"https://twitter.com/KhosroKalbasi/status/1226084817965604865, https://netblocks.org/reports/internet-shutdown-in-iran-following-reported-cyber-attack-18lJVDBa",Middle East ,Iran (Islamic Republic of),,Level 3,National ,Executive government,ICT Ministry ,Shutdown,"Broadband, Mobile",Full network,No,No,No,No,No,,No,No,"Iran: MCI (TCI), Iran: MTCE, Iran: MTN Irancell, Iran: Rightel (Tamin Telecom), Iran: Taliya, Iran: TKC",Yes,Other,Cyber Attack ,https://twitter.com/sadjadb/status/1226082010936074240,Unknown,Cyber attack ,No,No,No,No,,No,,,No,,,,
17,2/9/2020,2/9/2020,0,News media article,"https://www.tribuneindia.com/news/j-k/2g-mobile-internet-services-suspended-in-kashmir-again-38299; http://jkhome.nic.in/10(TSTS)of2020_0001.pdf
https://transparency.facebook.com/internet-disruptions",Asia ,India,Jammu and Kashmir ,Level 2,Kashmir Valley ,Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,precautionary measure given the anniversary of death of Mohammad Afzal Guru,http://jkhome.nic.in/10(TSTS)of2020_0001.pdf,Religious holiday/anniversary, seventh death anniversary of Parliament attack convict Mohammad Afzal Guru,No,No,Unknown,No,,Yes,"Yes. The Inspector general office of the Kashmir zone issued a mobile shutdown order ""in order of the security of the state"" and to ""maintain public order"". The order was later confirmed by the Principal Secretary of Government. Order - Home-10(TSTS) of 2020.",,Unknown,,,,
18,2/11/2020,2/13/2020,2,News media article,https://www.business-standard.com/article/current-affairs/syed-ali-shah-geelani-unwell-internet-snapped-in-kashmir-over-rumours-120021300301_1.html; http://jkhome.nic.in/11(TSTS)of2020_0001.pdf; http://jkhome.nic.in/12(TSTS)of2020_0001.pdf,Asia ,India,Jammu and Kashmir ,Level 2,Kashmir Valley ,Local government,Prevent a law and order situation during and after security forces operation.,Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Fake news/ Hate speech/ Incendiary content/ Promoting violence,Mobile internet services have been suspended in Kashmir to prevent rumours about the health of separatist leader Syed Ali Shah Geelani.,http://jkhome.nic.in/11(TSTS)of2020_0001.pdf,Other,prevent rumours about the health of separatist leader Syed Ali Shah Geelani,No,No,Unknown,No,,Yes,"Home-12(TSTS) of 2020
Home-11(TSTS) of 2020",,Unknown,,,,
19,2/16/2020,4/6/2020,50,News media article,https://www.reuters.com/article/us-vietnam-facebook-exclusive-idUSKCN2232JX,Asia ,Viet Nam,,Level 3,National ,Executive government,,Throttle,"Broadband, Mobile",Service-based,Yes,No,No,No,No,,No,No,,No,Illegal content,,,Information control,,No,No,No,No,,,,,No,,,,
20,2/18/2020,2/27/2020,9,News media article,https://www.telegraphindia.com/west-bengal/net-curb-in-7-districts-for-madhyamik/cid/1746162; https://www.asianage.com/india/all-india/180220/west-bengal-internet-services-to-be-suspended-for-exams.html,Asia ,India,West Bengal,Level 2,"Murshidabad,Maldah,Dakshin Dinajpur,Pashchim Medinipur,Birbhum,Jalpaiguri, Koch Bihar, in the state of West Bengal",State government,West Bengal Board of Secondary Education and home department,Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,School exams,,,Exam cheating,Internet services were be suspended for a few hours in 42 blocks of seven districts for a few hours on the days Madhyamik exams will be held to prevent question leak.,No,No,No,Yes,,Unknown,,,Unknown,,,,
21,2/19/2020,2/19/2020,0,Other,http://jkhome.nic.in/14(TSTS)20200001.pdf,Asia ,India,Jammu and Kashmir,Level 2,"Baramulla district and Awantipora police district, in Jammu and Kashmir",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during and after security forces operation.,http://jkhome.nic.in/14(TSTS)20200001.pdf,Political instability,security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - Home-14(TSTS) of 2020.,,Unknown,,,,
22,2/21/2020,2/23/2020,2,News media article,https://www.accessnow.org/a-shutdown-taints-togos-2020-presidential-elections-what-happened-and-whats-next/,Africa ,Togo,,Level 3,National ,Unknown,,"Shutdown, Throttle","Broadband, Mobile","Full network, Service-based",Yes,Yes,Yes,Unknown,Yes,,No,Unknown,"Togo: Moov (Maroc Telecom), Togo: Togocel (Togo Com)",No,Unknown,,,Elections,,Yes,Yes,Unknown,No,,,,,No,,,,
23,2/22/2020,2/22/2020,0,Other,http://jkhome.nic.in/15tsts20200001.pdf,Asia ,India,Jammu and Kashmir,Level 2,"Anantnag and Kulgam districts, in Jammu and Kashmir",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during and after security forces operation.,http://jkhome.nic.in/15tsts20200001.pdf,Political instability,security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - Home-15(TSTS) of 2020.,,Unknown,,,,
24,2/23/2020,2/28/2020,5,News media article,https://zeenews.india.com/india/anti-caa-protest-internet-services-suspended-in-aligarh-after-protesters-police-clash-2265646.html; https://www.ndtv.com/india-news/anti-caa-protesters-in-ups-aligarh-clash-with-police-after-being-denied-permission-to-erect-tents-2184472; https://economictimes.indiatimes.com/news/politics-and-nation/mobile-internet-services-restored-in-ups-aligarh-dm/articleshow/74410372.cms?from=mdr ,Asia ,India, Uttar Pradesh,Level 1,"Aligarh, in the state of Uttar Pradesh",Local government,"District Magistrate, Chandra Bhushan Singh.",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Public safety/ Quell unrest / Restore public order,"The journal Economic times stated: ""'It was suspended to maintain law and order situation in the area,' read an order by Aligarh District Magistrate Chandra Bhushan Singh.""

Read more at:
https://economictimes.indiatimes.com/news/politics-and-nation/mobile-internet-services-restored-in-ups-aligarh-dm/articleshow/74410372.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst",,Protests,"Internet services were suspended in Aligarh district of Uttar Pradesh after anti-citizenship law protesters clashed with police on Sunday (February 23). The violence broke out in the Uparkot Kotwali area of Aligarh resulting in stone-throwing, a portion of a shop in the area being set on fire, and a police vehicle being vandalized. ",No,Yes,Unknown,No,,Unknown,,,Unknown,,,,
25,2/27/2020,2/28/2020,1,Social media,https://twitter.com/netblocks/status/1233218946909822981,Middle East ,Turkey,,Level 3,National ,Executive government,,Shutdown,"Broadband, Mobile",Service-based,Yes,Yes,No,Yes,No,Facebook Messenger ,No,No,"Turkey: Turk Telekom (Oger Telecom), Turkey: Turkcell, Turkey: Vodafone",No,Unknown,,,Other,Military activity in Syria ,No,No,No,No,,,,https://twitter.com/netblocks/status/1233218946909822981?s=20,Yes,,,,
26,2/28/2020,3/1/2020,2,News media article,https://www.thehindu.com/news/national/curfew-imposed-in-meghalayas-east-khasi-hills-after-clashes/article30948606.ece?homepage=true; https://www.dnaindia.com/india/report-internet-suspended-night-curfew-imposed-in-meghalaya-s-shillong-following-violent-anti-caa-clashes-one-dead-2815394,Asia ,India,Meghalaya,Level 2,"East Khasi Hills,Ri Bhoi,West Khasi Hills,Jaintia Hills in the state of Meghalaya ",State government,State's Home (Police) Department Secretary C.V.D. Diengdoh,Shutdown,Mobile,Full network,No,No,No,No,No,,Yes,No,,Yes,Public safety/ Quell unrest / Restore public order,,https://twitter.com/pooja_news/status/1233433864682364928/photo/2,Communal violence,One person has been killed in clashes between KSU members and non-tribals during a meeting on CAA and inner line permit (ILP) in Meghalaya East Khasi Hills after which mobile internet services have been suspended in six districts.,No,Yes,Yes,No,,Yes,"Given reports of Law and order situation in East Khasi Hills, the State's Home (Police) Department Secretary C.V.D. Diengdoh ordered that SMS services of all mobile providers be limited to 5 SMSes; shutdown of mobile internet services across all internet service providers.",,Unknown,,,,
27,3/2/2020,3/2/2020,0,News media article,https://intelligencebriefs.com/agent-saboteurs-within-somalia-army-jam-kenyas-safaricom-bts-mast-in-mandera-frontier/,Africa ,Kenya,,Level 1,Mandera ,Non-government,Somalia National Army (SNA),Shutdown,Mobile,Full network,No,No,No,No,No,,Yes,Yes,Kenya: Safaricom,No,Unknown,,,Other,Fighting between the Jubaland Security Forces and Somalia National Army near Mandera ,No,Yes,No,No,,,,,No,,,,
28,3/9/2020,3/9/2020,0,Other,http://jkhome.nic.in/18(TSTS)20200001.pdf,Asia ,India,Jammu and Kashmir,Level 2,Kulgam and Shopian,Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during and after security forces operation.,http://jkhome.nic.in/18(TSTS)20200001.pdf,Political instability,security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 18(TSTS) of 2020.,,Unknown,,,,
