id,start_date,end_date,duration,info_source,news_link,continent,country,state/india,geo_scope,area_name,ordered_by,decision_maker,shutdown_type_new,affected_network,full_or_service-based,facebook_affected,twitter_affected,whatsapp_affected,instagram_affected,telegram_affected,other_service_details(specify),sms_affected,phone_call_affected,telcos_involved,gov_ack,official_just,other_just_details,off_statement,actual_cause,other_cause_details,election,violence,hr_abuse_reported,users_notified,users_affected/targetted,legal_justif,legal_method,telco_resp,telco_ack
1,2016-06-12,,,news media article,https://slate.com/technology/2017/08/the-internet-has-been-shut-down-in-pakistans-fata-for-more-than-a-year.html,asia,pakistan,,level 2,federally administered tribal area,executive government,,shutdown,"broadband, mobile",full network,no,no,no,no,no,,unknown,unknown,,yes,technical problems/ infrastructure failure,government said they will not be able to restore internet connection due to technical problems.,,other,conflict between afghanistan and pakistan forces,no,no,no,no,,no,,,unknown
2,2019-06-22,,,news media article,https://www.aljazeera.com/news/2020/6/21/internet-blackout-in-myanmars-rakhine-enters-its-second-year,asia,myanmar,,level 2,"myabon, ponnagyun, kyauktaw, and mrauk u townships in rakhine state",executive government,myanmar ministry of transport and communications (motc),throttle,mobile,full network,no,no,no,no,no,,no,no,,yes,fake news/ hate speech/ incendiary content/ promoting violence,"act of terrorism, acts of disturbance, and illegal activities",,political instability,,yes,yes,unknown,no,ethnic minorities,yes,"acts of terrorism, act of disturbance, and illegal activities",https://www.telenor.com/internet-services-restricted-in-five-townships-in-myanmar-03-february-2020/,yes
3,2019-08-03,2020-01-25,175.0,,https://www.news18.com/news/india/omar-abdullah-mehbooba-put-under-house-arrest-internet-services-snapped-as-kashmir-remains-tense-2257393.html;  https://www.livemint.com/politics/news/clampdown-in-kashmir-to-be-lifted-in-phases-1565940804140.html; https://theprint.in/india/mobile-internet-services-again-snapped-in-jammu/278573/; https://www.tribuneindia.com/news/j-k/2g-mobile-internet-services-suspended-in-kashmir-again-38299,asia,india,jammu and kashmir,level 2,kashmir valley,state government,state government,shutdown,"broadband, mobile",full network,no,no,no,no,no,,yes,yes,india: bsnl,yes,fake news/ hate speech/ incendiary content/ promoting violence,,https://twitter.com/netshutdowns/status/1217152823047024641,political instability,,no,yes,yes,no,"ethnic minorities, religious minorities",yes,section 144 crpc,,unknown
4,2019-09-09,2020-08-28,354.0,news media article,https://www.hrw.org/news/2019/09/13/bangladesh-internet-blackout-rohingya-refugees,asia,bangladesh,,level 1,refugee camps in cox bazar district and peninsula adjoining the naf river,executive government,bangladesh telecommunication regulatory commission,throttle,mobile,full network,no,no,no,no,no,,no,no,bangladesh: banglalink (global telecom),yes,fake news/ hate speech/ incendiary content/ promoting violence,"to stop baseless rumours and misinformation"" could create panic and destabilise the camps, where a few rohingya have been killed in internal clashes in recent years.",,protests,protests organized by refugees commemorating the second anniversary of the myanmar military's ethnic cleansing campaign in rakhine state.,no,no,no,no,ethnic minorities,yes,,,no
5,2020-01-01,2020-01-01,0.0,news media article,"""https://timesofindia.indiatimes.com/city/pune/amid-tight-security-10-lakh-people-pay-tributes-at-koregaon-bhima/articleshow/73063396.cms;"" https://indianexpress.com/article/cities/pune/202nd-anniversary-of-battle-of-koregaon-bhima-internet-services-shut-6194731/",asia,india,maharashtra,level 2,"koregaon bhima, perne village in pune district",local government,pune superintendent of police (rural) sandeep patil,shutdown,"broadband, mobile",full network,no,no,no,no,no,,unknown,unknown,,yes,precautionary measure,,https://timesofindia.indiatimes.com/city/pune/amid-tight-security-10-lakh-people-pay-tributes-at-koregaon-bhima/articleshow/73063396.cms,religious holiday/anniversary,202nd anniversary of battle of koregaon bhima:,no,no,no,no,,no,no,,unknown
6,2020-01-01,2020-01-05,4.0,news media article,"https://indianexpress.com/article/cities/kolkata/prohibitory-orders-internet-shut-after-clashes-in-bengal-district-6197172/, https://transparency.facebook.com/internet-disruptions",asia,india,west bengal,level 2,"duttapukur, amdanga and deganga, in north 24 parganas, west bengal",local government,,shutdown,unknown,full network,no,no,no,no,no,,no,no,,yes,public safety/ quell unrest / restore public order,"""prohibitory orders were imposed in three panchayat areas of north 24 parganas district in west bengal following clashes between members of two communities in duttapukur area, triggered by the “unnatural” death of a shopkeeper, police said on thursday.""",,communal violence,"""clashes between members of two communities in duttapukur area, triggered by the “unnatural” death of a shopkeeper, police said""",no,yes,yes,no,,unknown,,,unknown
7,2020-01-03,2020-04-01,89.0,news media article,https://www.hrw.org/news/2020/03/09/ethiopia-communications-shutdown-takes-heavy-toll; https://amharic.voanews.com/a/oromia-violence-1-10-2020-/5240740.html,africa,ethiopia,,level 2,"kellem wollega, west wollega, horo gudru wollega zones",state government,,shutdown,"broadband, mobile","full network, service-based",yes,yes,yes,unknown,unknown,,yes,yes,ethiopia: ethio telecom,yes,national security/ counter-terrorism,,https://www.ethiopia-insight.com/2020/02/14/amid-blackout-western-oromia-plunges-deeper-into-chaos-and-confusion/,political instability,,no,yes,yes,no,,unknown,,,unknown
8,2020-01-04,,,news media article,https://www.siasat.com/record-turnout-hyderabads-anti-caa-nrc-npr-million-march-1782839/,asia,india,andhra pradesh,level 1,hyderabad in the state of andhra pradesh,unknown,,shutdown,"broadband, mobile",full network,no,no,no,no,no,,no,no,,unknown,unknown,,,protests,the internet experienced a total shut down at the million march venue in hyderabad during a anti-caa protest. thousands of protestors flocked to dharna chowk en masse around 2 pm for hyderabad’s million march protest against the caa-nrc-npr on 4th january 2019,no,no,no,no,,,,,unknown
9,2020-01-05,2020-01-05,0.0,news media article,https://netblocks.org/reports/social-media-restricted-in-venezuela-on-day-of-national-assembly-leadership-vote-3anevk82,latin america,venezuela (bolivarian republic of),,level 3,national,unknown,,shutdown,"broadband, mobile",service-based,yes,yes,no,yes,no,,no,no,,no,unknown,,,other,authorities blocked social media amidst a vote in the national assembly,no,no,no,no,,,,,no
10,2020-01-10,,,other,"http://jkhome.nic.in/tsts%20106of2020.pdf
http://jkhome.nic.in/114(tsts)of2020.pdf;",asia,india,jammu and kashmir,level 2,"all districts of jammu and kashmir, but for ganderbal and udhampur",local government,principal secretary to the government of j&k,throttle,mobile,full network,no,no,no,no,no,,no,no,,yes,precautionary measure,"the principal secretary to the government of j&k ordered, in all districts in the region but two (ganderbal and udhampur), a throttle of mobile services to ensure a cap of 2g speed on post-paid mobile and shut down of pre-paid mobile data if it does not fulfill the same conditions (identification) of post-paid mobile plans in order to preempt security and law in order situations related to the border and organizations labeled as ""terrorists"".",http://jkhome.nic.in/tsts%20106of2020.pdf,political instability,prevent terrorism and law and order situation,no,no,unknown,no,,yes,"the principal secretary to the government of j&k ordered, in all districts in the region but two (ganderbal and udhampur), a throttle of mobile services to ensure a cap of 2g speed on post-paid mobile and shut down of pre-paid mobile data if it does not fulfill the same conditions (identification) of post-paid mobile plans in order to preempt security and law in order situations related to the border and organizations labeled as ""separatists"" and ""terrorists"".",,unknown
11,2020-01-22,2020-01-23,1.0,social media,"https://twitter.com/farida_n/status/1220090684075659271?s=20, https://twitter.com/netblocks/status/1220118227126312960?s=20,",africa,togo,,level 3,nation wide,executive government,,shutdown,mobile,full network,no,no,no,no,no,,no,no,togo: togocel (togo com),no,unknown,,,unknown,,no,unknown,no,no,,,,,no
